20:55:24.989 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.040 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.091 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.141 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.191 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.240 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.289 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.338 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.364 [      qiuF] [ INFO] | >>>>>>>> clicking window..... 
20:55:25.368 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.369 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.388 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.437 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.464 [      qiuF] [ INFO] | window closed, 1 
20:55:25.466 [      qiuF] [ INFO] | You have been warped to sky 
20:55:25.486 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.535 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.588 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.664 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.710 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.759 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.809 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.858 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.907 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:25.957 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.006 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.055 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.104 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.153 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.202 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.251 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.300 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.349 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.398 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.448 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.496 [      qiuF] [ INFO] | ** 你离开了属于 JLGC的 空岛！ 
20:55:26.498 [      qiuF] [ INFO] | ** 你离开了属于 JLGC的 空岛！ 
20:55:26.500 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.501 [      qiuF] [ INFO] | reset pl -248.5, 73.0, -875.5, -91.1999, -0.299999, true 
20:55:26.506 [      qiuF] [ INFO] | set window items 0 
20:55:26.520 [      qiuF] [ INFO] |                                       
20:55:26.521 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.522 [      qiuF] [ INFO] | reset pl -248.5, 73.0, -875.5, -89.0, 0.0, true 
20:55:26.548 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.597 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.646 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.695 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.744 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.793 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.842 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.891 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.940 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:26.991 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.041 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.090 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.140 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.189 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.238 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.287 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.336 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.385 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.435 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.484 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.534 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.585 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.634 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.684 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.734 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.784 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.834 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.883 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.927 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.932 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:27.981 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.030 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.080 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.129 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.178 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.231 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.234 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.235 [      qiuF] [ INFO] | reset pl -248.5, 73.0, -875.5, -89.0, 0.0, true 
20:55:28.237 [      qiuF] [ INFO] | set window items 0 
20:55:28.246 [      qiuF] [ INFO] | 玩家 [勇者]qiuF 穿越到了东方大陆，欢迎你回来！ 
20:55:28.247 [      qiuF] [ INFO] | >>>>>>>> issuing command '/is home'..... 
20:55:28.248 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.281 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.328 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.377 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.425 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.474 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.523 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.573 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.624 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.673 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.722 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.771 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.820 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.869 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.918 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:28.967 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.017 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.065 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.114 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.182 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.248 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.298 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.346 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.395 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.447 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.496 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.546 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.595 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.644 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.693 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.742 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.791 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.840 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.890 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.939 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:29.978 [      qiuF] [ INFO] | ** 你进入了属于 JLGC的 空岛！ 
20:55:29.980 [      qiuF] [ INFO] | ** 你进入了属于 JLGC的 空岛！ 
20:55:29.995 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:30.000 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:30.001 [      qiuF] [ INFO] | reset pl -12025.5, 155.2, -28455.5, 182.99963, 2.3999717, false 
20:55:30.005 [      qiuF] [ INFO] | set window items 0 
20:55:30.008 [      qiuF] [ INFO] | Teleporting you to your island. 
20:55:30.010 [      qiuF] [ INFO] | 玩家 [勇者]ziyuyu_ 穿越到了东方大陆，欢迎你回来！ 
20:55:30.049 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:30.097 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:30.157 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:30.209 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:30.259 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:30.309 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:30.358 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:30.407 [      qiuF] [ INFO] | ClientEventEncoder 
20:55:43.700 [      Main] [ INFO] | ------------------------------------------- 
20:55:43.715 [      Main] [ INFO] |    Player Name: qiuF 
20:55:43.722 [      Main] [ INFO] | Server Address: MC.52KO.COM 
20:55:43.723 [      Main] [ INFO] |    Server Port: 25565 
20:55:43.724 [      Main] [ INFO] |        Version: 316 
20:55:43.725 [      Main] [ INFO] | ------------------------------------------- 
20:55:44.718 [      qiuF] [ INFO] | litemc starting... 
20:55:47.238 [      qiuF] [ INFO] | connecting server... 
20:55:48.311 [      qiuF] [ INFO] | connect server success. 
20:55:48.383 [      qiuF] [ INFO] | handshaking... 
20:55:48.386 [      qiuF] [ INFO] | logining... 
20:55:48.760 [      qiuF] [ INFO] | set compression 128. 
20:55:48.761 [      qiuF] [ INFO] | login success! 
20:55:48.796 [      qiuF] [ INFO] | §c请使用/login登录已经注册过的帐号或者使用/reg注册！ 
20:55:48.799 [      qiuF] [ INFO] | player join game. 
20:55:49.209 [      qiuF] [ INFO] | reset pl -0.368, 72.0, 21.042, 0.0, 0.0, true 
20:55:49.217 [      qiuF] [ INFO] | set window items 0 
20:55:49.221 [      qiuF] [ INFO] | reset pl -0.368, 72.0625, 21.042, 0.0, 0.0, false 
20:55:49.227 [      qiuF] [ INFO] | §A§n§t§i§M§i§n§i§m§a§p 
20:55:49.229 [      qiuF] [ INFO] | §3 §6 §3 §6 §3 §6 §e 
20:55:49.231 [      qiuF] [ INFO] | §0§0§1§2§3§5§e§f 
20:55:49.232 [      qiuF] [ INFO] | §0§0§c§d§e§f 
20:55:50.760 [      qiuF] [ INFO] | >>>>>>>> waiting window open..... 
20:55:51.962 [      qiuF] [ INFO] |  
20:55:51.964 [      qiuF] [ INFO] |  
20:55:51.966 [      qiuF] [ INFO] |  
20:55:51.967 [      qiuF] [ INFO] |  
20:55:51.968 [      qiuF] [ INFO] |  
20:55:51.969 [      qiuF] [ INFO] |  
20:55:51.970 [      qiuF] [ INFO] |  
20:55:51.971 [      qiuF] [ INFO] |  
20:55:51.973 [      qiuF] [ INFO] |  
20:55:51.974 [      qiuF] [ INFO] |  
20:55:51.977 [      qiuF] [ INFO] |  
20:55:51.979 [      qiuF] [ INFO] |  
20:55:51.980 [      qiuF] [ INFO] |  
20:55:51.981 [      qiuF] [ INFO] |  
20:55:51.983 [      qiuF] [ INFO] |  
20:55:51.984 [      qiuF] [ INFO] |  
20:55:51.985 [      qiuF] [ INFO] |  
20:55:51.986 [      qiuF] [ INFO] |  
20:55:51.988 [      qiuF] [ INFO] | [注意]请登录帐号，输入/L 密码，如/L 123456，来登录你的帐号！ 
20:55:51.991 [      qiuF] [ INFO] | [注意]如果您从未注册，说明该ID已有人使用，请更换游戏ID 
20:55:51.992 [      qiuF] [ INFO] | [提示]如果您进入生存服任何大区直接弹回登录服，等待3~5分钟即可！ 
20:55:52.073 [      qiuF] [ INFO] | [系统提示]您已成功登录，开始属于你的冒险吧！ 
20:55:52.075 [      qiuF] [ INFO] | [东方大陆]请按T键在聊天窗口输入.help完成验证，不需要加/，直接输入即可！ 
20:55:52.114 [      qiuF] [ INFO] | [东方大陆]你已经成功通过验证！ 
20:55:52.163 [      qiuF] [ INFO] | window opened, 1, minecraft:container, 45 
